global_key,paper_key,name,gender
aaai,conf/aaai/BenferhatS07,Salma Smaoui,F
aaai,conf/aaai/BercherRHGHBNHM15,Susanne Biundo,F
aaai,conf/aaai/BerglerD15,Sabine Bergler,F
aaai,conf/aaai/BerlinGTB06,Andrea Lockerd Thomaz,F
aaai,conf/aaai/BermbachKWRZ11,Sandra Rath,F
aaai,conf/aaai/BesseC07,Camille Besse,F
aaai,conf/aaai/BessiereHHKQW08,Zeynep Kiziltan,F
aaai,conf/aaai/BessiereKNQW10,Nina Narodytska,F
aaai,conf/aaai/BessierePS15,Anastasia Paparrizou,F
aaai,conf/aaai/BeygelzimerLZ05,Alina Beygelzimer,F
aaai,conf/aaai/BeynierM06,Aurélie Beynier,F
aaai,conf/aaai/BhatiaOXH07,Beenish Bhatia,F
aaai,conf/aaai/BhatiaSTB15,Damla Turgut,F
aaai,conf/aaai/BhattGC13,Diane J. Cook,F
aaai,conf/aaai/BhattSSKG16,Vasiliki Kondyli,F
aaai,conf/aaai/BhattacharyaG07,Lise Getoor,F
aaai,conf/aaai/BiK14,Wei Bi,F
aaai,conf/aaai/BiMA06,Yaxin Bi,F
aaai,conf/aaai/BidyukD06,Bozhena Bidyuk,F
aaai,conf/aaai/BiemBFKMNPRRSST15,Yuri Malitsky,F
aaai,conf/aaai/BienvenuBG14,Camille Bourgaux,F
aaai,conf/aaai/BienvenuBG16,Camille Bourgaux,F
aaai,conf/aaai/BienvenuFM10,Hélène Fargier,F
aaai,conf/aaai/BilgicG07,Lise Getoor,F
aaai,conf/aaai/BilgicG10,Lise Getoor,F
aaai,conf/aaai/BiskH12,Julia Hockenmaier,F
aaai,conf/aaai/BissonKBI11,Hengameh Irandoust,F
aaai,conf/aaai/BitanGKDA13,Sarit Kraus,F
aaai,conf/aaai/BittnerD07,Maureen Donnelly,F
aaai,conf/aaai/BlankKMY05,Lisa Meeden,F
aaai,conf/aaai/BlumHP14,Nika Haghtalab,F
aaai,conf/aaai/Blumrosen07,Liad Blumrosen,F
aaai,conf/aaai/BobicevS08,Victoria Bobicev,F
aaai,conf/aaai/BoeseH05,Adele E. Howe,F
aaai,conf/aaai/BogdanovicMDF15,Misha Denil,F
aaai,conf/aaai/BoiaMF14,Marina Boia,F
aaai,conf/aaai/BoicuTAMBBSWLAC05,Cindy Ayers,F
aaai,conf/aaai/BoicuTB02,Cristina Boicu,F
aaai,conf/aaai/BoicuTB05,Cristina Boicu,F
aaai,conf/aaai/BoicuTMSBBBH02,Dorin Marcu,F
aaai,conf/aaai/BoidotMF15,Aude Marzuoli,F
aaai,conf/aaai/BollegalaAMK16,Danushka Bollegala,F
aaai,conf/aaai/BollegalaMYK15,Danushka Bollegala,F
aaai,conf/aaai/BonomiGPR12,Nicola Gatti 0001,F
aaai,conf/aaai/BonzonDKM16,Elise Bonzon,F
aaai,conf/aaai/BordeauxCM05,Toni Mancini,F
aaai,conf/aaai/BoteanuC15,Sonia Chernova,F
aaai,conf/aaai/BotoevaCSSSX16,Elena Botoeva,F
aaai,conf/aaai/BouchardHC16,Diane J. Cook,F
aaai,conf/aaai/BoucherCMD15,Melinda Darby Dyar,F
aaai,conf/aaai/BoujarwahKAA11,Fatima A. Boujarwah,F
aaai,conf/aaai/Bova16,Simone Bova,F
aaai,conf/aaai/BowlingWG06,Dana F. Wilkinson,F
aaai,conf/aaai/BozzanoCGM15,Andrea Micheli,F
aaai,conf/aaai/BrafmanD06,Carmel Domshlak,F
aaai,conf/aaai/BrafmanDEF11,Carmel Domshlak,F
aaai,conf/aaai/BrafmanDET10,Carmel Domshlak,F
aaai,conf/aaai/BrafmanDSS06,Carmel Domshlak,F
aaai,conf/aaai/BrafmanPRSVW11,Francesca Rossi,F
aaai,conf/aaai/BrandtBHH10,Edith Hemaspaandra,F
aaai,conf/aaai/BranzeiCDFF014,Simina Brânzei,F
aaai,conf/aaai/BranzeiCKP16,Simina Brânzei,F
aaai,conf/aaai/BranzeiCMP13,Simina Brânzei,F
aaai,conf/aaai/BrasBGSGSD14,Carla P. Gomes,F
aaai,conf/aaai/BrasDXGMSM13,Carla P. Gomes,F
aaai,conf/aaai/BrazGPRS05,Roxana Girju,F
aaai,conf/aaai/BraziunasEVWX14,Kristen Brent Venable,F
aaai,conf/aaai/BreazealB08,Cynthia Breazeal,F
aaai,conf/aaai/BrelsfordFHSS08,Edith Hemaspaandra,F
aaai,conf/aaai/BrennanWG10,Stacey Wrazien,F
aaai,conf/aaai/BreyerK10,Teresa Maria Breyer,F
aaai,conf/aaai/BreyerK10a,Teresa Maria Breyer,F
aaai,conf/aaai/BriggsFRB16,Xiaoli Z. Fern,F
aaai,conf/aaai/BritoP02,Judea Pearl,F
aaai,conf/aaai/BroadbentJKSM11,Elizabeth Broadbent,F
aaai,conf/aaai/BrooksAEKMS06,Monica Agarwal,F
aaai,conf/aaai/BrooksRGB15,Emilia Reed,F
aaai,conf/aaai/Brown16,Sarah M. Brown,F
aaai,conf/aaai/BrownK13,Laura E. Brown,F
aaai,conf/aaai/BrownSVT14,Sandhya Saisubramanian,F
aaai,conf/aaai/BrownTA05,Laura E. Brown,F
aaai,conf/aaai/BrownWMD15,Sarah Marie Brown,F
aaai,conf/aaai/BrowningXV04,Ling Xu,F
aaai,conf/aaai/BroxvallCKS05,Silvia Coradeschi,F
aaai,conf/aaai/BrunerL14,Marie-Louise Bruner,F
aaai,conf/aaai/BruninghausA06,Stefanie Brüninghaus,F
aaai,conf/aaai/Brunskill07,Emma Brunskill,F
aaai,conf/aaai/BryceB13,Renée C. Bryce,F
aaai,conf/aaai/BrysN12,Ann Nowé,F
aaai,conf/aaai/BrysN14,Ann Nowé,F
aaai,conf/aaai/BrysNKT14,Ann Nowé,F
aaai,conf/aaai/BudzynskaR11,Katarzyna Budzynska,F
aaai,conf/aaai/Buehler12,Jennifer Elisabeth Buehler,F
aaai,conf/aaai/BuehlerP14,Jennifer Elisabeth Buehler,F
aaai,conf/aaai/BugajskaATTS05,Magdalena D. Bugajska,F
aaai,conf/aaai/BuiHB12,Tuyen N. Huynh,F
aaai,conf/aaai/BuiPV04,Svetha Venkatesh,F
aaai,conf/aaai/BuiPVP08,Svetha Venkatesh,F
aaai,conf/aaai/BuiVW00,Svetha Venkatesh,F
aaai,conf/aaai/BulitkoSK05,Maryia Kazakevich,F
aaai,conf/aaai/BuntainAK14,Sarit Kraus,F
aaai,conf/aaai/BunteJBMPK14,Kerstin Bunte,F
aaai,conf/aaai/BurhansC06,Debra T. Burhans,F
aaai,conf/aaai/BurhansMVPSW06,Debra T. Burhans,F
aaai,conf/aaai/BurhansNS05,Debra T. Burhans,F
aaai,conf/aaai/BurnsCE10,Sandra Carberry,F
aaai,conf/aaai/BurnsLRZ10,Sofia Lemons,F
aaai,conf/aaai/BurtonGM15,Judy Goldsmith,F
aaai,conf/aaai/BurtonGM16,Judy Goldsmith,F
aaai,conf/aaai/Busa-FeketeSH14,Eyke Hüllermeier,F
aaai,conf/aaai/ByunLMG14,Hyo Yul Byun,F
aaai,conf/aaai/CaiHH07,Jiawei Han,F
aaai,conf/aaai/CaiHH08,Jiawei Han,F
aaai,conf/aaai/CaiLS15,Shaowei Cai,F
aaai,conf/aaai/CaiLTS14,Shaowei Cai,F
aaai,conf/aaai/CaiS12,Shaowei Cai,F
aaai,conf/aaai/CaiSC10,Shaowei Cai,F
aaai,conf/aaai/CaiSL13,Shaowei Cai,F
aaai,conf/aaai/CaiSS12,Shaowei Cai,F
aaai,conf/aaai/CakmakL12,Maya Cakmak,F
aaai,conf/aaai/CaliGKLP10,Andrea Calì,F
aaai,conf/aaai/CaliGP11,Andrea Calì,F
aaai,conf/aaai/CalimeriCIL10,Susanna Cozza,F
aaai,conf/aaai/CalvaneseEO07,Magdalena Ortiz,F
